id_commande,id_client,ville,categorie,canal_achat,mode_paiement,age_client,genre,anciennete_client_jours,client_premium,quantite,prix_unitaire_fcfa,remise_pct,frais_livraison_fcfa,montant_total_fcfa,mois,jour_semaine,delai_livraison_jours,retard_livraison,satisfaction_1_5,satisfait,retour_produit
CMD200000,CLI11125,Dapaong,Alimentaire,Site web,Mobile Money,48.0,F,,1,2,1974,18.9,4336,7538,8,Dim,5.4,1,4,1,0
CMD200001,CLI11372,Lomé,Mode,Site web,Mobile Money,20.0,H,,0,4,18828,0.0,1717,77029,9,Sam,,0,4,1,0
CMD200002,CLI11679,Kpalimé,Alimentaire,Application mobile,Espèces à la livraison,26.0,H,159.0,1,5,11811,12.6,1888,53502,10,Ven,2.8,0,4,1,0
CMD200003,CLI10473,Kpalimé,Téléphonie,Application mobile,Espèces à la livraison,,F,453.0,0,3,47041,,2563,143686,11,Jeu,3.3,0,3,0,0
CMD200004,CLI11353,Dapaong,Mode,Application mobile,Espèces à la livraison,42.0,H,503.0,0,2,25763,0.0,3388,54914,2,Jeu,7.4,1,3,0,0
CMD200005,CLI10583,Lomé,Téléphonie,Application mobile,Espèces à la livraison,31.0,F,790.0,0,2,46580,0.0,842,94002,5,Mer,1.2,0,4,1,0
CMD200006,CLI11394,Lomé,Beauté,Site web,Mobile Money,36.0,H,507.0,0,2,10555,6.4,1846,21605,11,Lun,4.6,0,5,1,0
CMD200007,CLI10489,Atakpamé,Maison,Site web,Espèces à la livraison,28.0,F,333.0,0,1,19679,0.0,2690,22369,5,Ven,2.2,0,4,1,0
CMD200008,CLI11294,Kara,Maison,Application mobile,Mobile Money,33.0,H,103.0,0,2,23685,0.0,2994,50364,12,Ven,4.0,0,4,1,0
CMD200009,CLI11713,Lomé,Électronique,Application mobile,Espèces à la livraison,30.0,F,530.0,1,4,61441,6.8,2032,231084,2,Sam,2.7,0,5,1,0
CMD200010,CLI11037,Lomé,Électronique,Application mobile,Espèces à la livraison,35.0,F,81.0,0,1,46393,0.0,2343,48736,9,Sam,3.0,0,4,1,0
CMD200011,CLI10805,Lomé,Alimentaire,Réseaux sociaux,Mobile Money,45.0,F,487.0,0,1,3418,0.0,1861,5279,12,Sam,1.6,0,4,1,0
CMD200012,CLI10031,Lomé,Beauté,Application mobile,Mobile Money,30.0,F,93.0,0,3,2073,0.0,1897,8116,7,Sam,2.8,0,4,1,0
CMD200013,CLI10320,Lomé,Mode,Application mobile,Espèces à la livraison,18.0,H,57.0,0,1,13135,0.0,1350,14485,1,Mar,1.8,0,4,1,0
CMD200014,CLI10871,Dapaong,Électronique,Site web,Espèces à la livraison,42.0,H,303.0,0,2,80702,0.0,3880,165284,5,Mer,3.1,0,4,1,0
CMD200015,CLI11107,Lomé,Électronique,Site web,Espèces à la livraison,40.0,F,245.0,0,1,62974,0.0,1212,64186,4,Mar,3.1,0,4,1,0
CMD200016,CLI10867,Lomé,Mode,Site web,Mobile Money,54.0,F,256.0,1,2,25113,14.9,1910,44652,11,Sam,,0,4,1,0
CMD200017,CLI10106,Lomé,Maison,Réseaux sociaux,Mobile Money,26.0,H,126.0,0,2,32587,4.8,1513,63559,11,Dim,1.6,0,5,1,0
CMD200018,CLI11192,Lomé,Téléphonie,Site web,Mobile Money,31.0,H,679.0,0,5,55261,0.0,2135,278440,1,Lun,0.5,0,4,1,0
CMD200019,CLI10258,Lomé,Beauté,Site web,Mobile Money,33.0,H,787.0,0,1,7670,5.3,1924,9187,5,Ven,3.9,0,3,0,0
CMD200020,CLI10185,Lomé,Beauté,Site web,Espèces à la livraison,30.0,H,427.0,0,2,9011,0.0,1682,19704,7,Jeu,0.6,0,4,1,0
CMD200021,CLI11517,Sokodé,Électronique,Réseaux sociaux,Mobile Money,29.0,F,291.0,0,1,45111,8.4,2675,43997,11,Jeu,5.7,1,4,1,0
CMD200022,CLI10899,Sokodé,Mode,Application mobile,Espèces à la livraison,24.0,H,975.0,0,3,18891,0.0,3150,59823,9,Dim,1.5,0,3,0,0
CMD200023,CLI11005,Atakpamé,Électronique,Site web,Espèces à la livraison,31.0,F,,0,2,57458,2.6,2678,114606,4,Lun,4.4,0,4,1,0
CMD200024,CLI10119,Lomé,Mode,Réseaux sociaux,Mobile Money,33.0,F,270.0,0,4,5856,0.0,1887,25311,8,Mer,4.7,0,4,1,0
CMD200025,CLI10657,Lomé,Maison,Application mobile,Mobile Money,40.0,H,194.0,0,3,36453,0.0,1872,111231,7,Lun,1.4,0,4,1,0
CMD200026,CLI10245,Lomé,Alimentaire,Site web,Mobile Money,18.0,F,1532.0,0,1,14793,,1339,16132,4,Jeu,1.7,0,3,0,0
CMD200027,CLI11645,Lomé,Alimentaire,Réseaux sociaux,Mobile Money,,F,56.0,0,4,14446,7.3,1981,55547,7,Sam,,0,5,1,0
CMD200028,CLI10723,Atakpamé,Mode,Application mobile,Espèces à la livraison,36.0,H,82.0,1,4,7669,10.6,2275,29699,3,Lun,0.5,0,4,1,0
CMD200029,CLI10712,Atakpamé,Mode,Réseaux sociaux,Espèces à la livraison,32.0,H,366.0,1,2,9876,19.5,1752,17652,6,Mar,1.7,0,5,1,0
CMD200030,CLI10708,Kara,Mode,Application mobile,Espèces à la livraison,39.0,F,441.0,0,2,17574,0.0,3035,38183,4,Lun,2.7,0,4,1,0
CMD200031,CLI11439,Kpalimé,Téléphonie,Application mobile,Mobile Money,37.0,F,160.0,0,2,65726,0.0,2211,133663,2,Lun,4.9,0,4,1,0
CMD200032,CLI10628,Lomé,Mode,Application mobile,Espèces à la livraison,19.0,H,431.0,0,1,6076,0.0,1373,7449,7,Lun,1.2,0,4,1,0
CMD200033,CLI10391,Lomé,Beauté,Application mobile,Mobile Money,43.0,H,1014.0,0,5,9742,0.0,2073,50783,2,Dim,3.5,0,4,1,0
CMD200034,CLI11146,Kpalimé,Électronique,Application mobile,Mobile Money,33.0,F,505.0,1,7,3077,14.6,1907,20301,10,Jeu,1.3,0,5,1,0
CMD200035,CLI10134,Kara,Téléphonie,Site web,Espèces à la livraison,34.0,H,46.0,0,4,92954,2.1,2773,366781,9,Sam,2.7,0,3,0,0
CMD200036,CLI10396,Sokodé,Alimentaire,Réseaux sociaux,Mobile Money,41.0,F,209.0,0,1,9292,0.0,3021,12313,6,Ven,2.2,0,4,1,0
CMD200037,CLI10560,Kpalimé,Mode,Réseaux sociaux,Espèces à la livraison,21.0,H,100.0,0,1,21497,9.3,2291,21789,1,Lun,3.4,0,5,1,0
CMD200038,CLI11585,Kpalimé,Mode,Réseaux sociaux,Espèces à la livraison,35.0,F,519.0,0,1,20811,9.7,2410,21202,6,Mer,0.5,0,5,1,0
CMD200039,CLI10750,Lomé,Maison,Site web,Mobile Money,47.0,F,329.0,0,1,34648,0.0,1077,35725,5,Dim,2.8,0,3,0,1
CMD200040,CLI11334,Lomé,Téléphonie,Application mobile,Mobile Money,41.0,F,694.0,1,2,87347,16.2,1078,147472,12,Jeu,4.2,0,5,1,0
CMD200041,CLI11264,Lomé,Téléphonie,Application mobile,Carte bancaire,27.0,H,169.0,0,1,74290,0.0,1298,75588,3,Mar,3.5,0,5,1,0
CMD200042,CLI10950,Kpalimé,Téléphonie,Application mobile,Espèces à la livraison,27.0,H,22.0,1,6,38300,5.1,2740,220820,10,Lun,1.6,0,4,1,0
CMD200043,CLI11574,Lomé,Alimentaire,Réseaux sociaux,Mobile Money,19.0,H,440.0,0,2,14246,0.0,2025,30517,3,Dim,3.8,0,5,1,0
CMD200044,CLI10806,Sokodé,Électronique,Réseaux sociaux,Mobile Money,30.0,H,67.0,0,2,83982,5.1,2801,162199,10,Sam,1.0,0,4,1,0
CMD200045,CLI10393,Lomé,Électronique,Site web,Carte bancaire,30.0,F,998.0,0,1,29527,0.0,2016,31543,11,Ven,4.7,0,4,1,0
CMD200046,CLI11252,Lomé,Beauté,Réseaux sociaux,Mobile Money,34.0,F,149.0,0,4,10624,0.0,1346,43842,6,Lun,3.1,0,5,1,0
CMD200047,CLI11342,Dapaong,Mode,Réseaux sociaux,Mobile Money,34.0,F,428.0,0,4,11153,0.0,3157,47769,9,Mar,4.2,0,4,1,0
CMD200048,CLI11476,Sokodé,Électronique,Site web,Espèces à la livraison,18.0,H,63.0,1,3,87665,18.8,1995,215547,3,Mar,2.0,0,5,1,0
CMD200049,CLI10906,Dapaong,Mode,Site web,Espèces à la livraison,37.0,F,467.0,0,3,11313,3.0,3974,36895,4,Sam,2.3,0,5,1,0
CMD200050,CLI10379,Lomé,Maison,Réseaux sociaux,Mobile Money,29.0,F,333.0,0,3,25543,8.3,1398,71667,11,Lun,2.7,0,4,1,0
